"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"DHS","2023","U.S. Secret Service (USSS) - Training","0","","No","No"
"DHS","2023","United States Coast Guard (USCG) - Aviation Logistics Command","0","","No","No"
"DHS","2023","United States Coast Guard (USCG) - Coast Guard Boat Safety","0","","No","No"
"DHS","2023","United States Coast Guard (USCG) - Maritime Oil Spill Program","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Operations & Support","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Payroll: Civilian","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Payroll: Military","0","","No","No"
"DHS","2023","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Procurements, Construction, and Improvement - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Retired Pay","0","","No","No"
"DHS","2023","United States Coast Guard (USCG) - Supply Fund","0","","Yes","No"
"DHS","2023","United States Coast Guard (USCG) - Surface Forces Logistics Command","0","","Yes","No"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance","0","","Yes","No"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support","0","","Yes","No"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement","0","","No","No"
"DHS","2024","Countering Weapons of Mass Destruction Office (CWMD) - Research & Development","0","","Yes","No"
"DHS","2024","Cybersecurity and Infrastructure Security Agency (CISA) - All Other","0","","Yes","No"
"DHS","2024","Cybersecurity and Infrastructure Security Agency (CISA) - Payroll","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Building Resilient Infrastructure and Communities (BRIC) Grants","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Disaster Case Management","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - FRM Risk Map","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Funeral Assistance","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Hermit's Peak","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Payroll","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Port Security Grant Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Public Assistance","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Purchase Card","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Training Grants","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Transit Security Grant Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Travel","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Urban Search and Rescue","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency (FEMA) - Vendor Pay","0","","Yes","No"
"DHS","2024","Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET)","0","","No","No"
"DHS","2024","Federal Law Enforcement Training Centers (FLETC) - Mission Support","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - CARES Act Funds","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO)","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Fleet Card","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI)","0","","Yes","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Management","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Office of the Assistant Secretary","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Payroll","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","0","","Yes","Yes"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Purchase Card","0","","No","No"
"DHS","2024","Immigration and Customs Enforcement (ICE) - Travel","0","","No","No"
"DHS","2024","Management Directorate (MGMT) - Federal Protective Service","0","","No","No"
"DHS","2024","Management Directorate (MGMT) - Management & Administration","0","","No","No"
"DHS","2024","Office of Inspector General (OIG) - Audits, Inspections, & Investigations","0","","Yes","No"
"DHS","2024","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","0","","No","No"
"DHS","2024","Science and Technology Directorate (S&T) - Operations & Support","0","","No","No"
"DHS","2024","Science and Technology Directorate (S&T) - Research & Development","0","","No","No"
"DHS","2024","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations","0","","No","No"
"DHS","2024","Transportation Security Administration (TSA) - Operations & Support: Mission Support","0","","No","No"
"DHS","2024","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement","0","","No","No"
"DHS","2024","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits","0","","No","No"
"DHS","2024","Transportation Security Administration (TSA) - Procurement, Construction, and Improvements: Aviation Screening Infrastructure","0","","No","No"
"DHS","2024","Transportation Security Administration (TSA) - Research & Development","0","","No","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Administration","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Application Processing","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Immigrant Examinations Fee Account","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","0","","Yes","No"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","0","","Yes","No"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Border Security Fencing","0","","No","No"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Operations and Support","0","","No","No"
"DHS","2024","U.S. Customs and Border Protection (CBP) - PR and VI Programs","0","","No","No"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","0","","No","No"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","0","","Yes","No"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Refund and Drawback","0","","Yes","No"
"DHS","2024","U.S. Secret Service (USSS) - Contribution for Annuity Benefits","0","","Yes","No"
"DHS","2024","U.S. Secret Service (USSS) - Field Operations","0","","No","No"
"DHS","2024","U.S. Secret Service (USSS) - Procurement, Construction, & Improvement","0","","Yes","No"
"DHS","2024","U.S. Secret Service (USSS) - Protection","0","","No","No"
"DHS","2024","U.S. Secret Service (USSS) - Training","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Aviation Logistics Command","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Coast Guard Boat Safety","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Maritime Oil Spill Program","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Operations & Support","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Payroll: Civilian","0","","No","No"
"DHS","2024","United States Coast Guard (USCG) - Payroll: Military","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Procurement, Construction, & Improvement","0","","No","No"
"DHS","2024","United States Coast Guard (USCG) - Procurements, Construction, and Improvement - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Retired Pay","0","","No","No"
"DHS","2024","United States Coast Guard (USCG) - Supply Fund","0","","Yes","No"
"DHS","2024","United States Coast Guard (USCG) - Surface Forces Logistics Command","0","","No","No"
"DNFSB","2023","Salaries and Expenses (Direct)","0","","Yes","No"
"DNFSB","2024","Salaries and Expenses (Direct)","0","","No","No"
"DOC","2019","Census Bureau - Decennial Census","","No","",""
"DOC","2019","Census Bureau - EDCADS-Census Enterprise Data Collection and Processing","","No","",""
"DOC","2019","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","","No","",""
"DOC","2019","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services","","No","",""
"DOC","2019","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","","No","",""
"DOC","2019","Census Bureau - State Children's Health Insurance Program","","No","",""
"DOC","2019","Census Bureau - Survey of Program Dynamics","","No","",""
"DOC","2019","Economic Development Administration (EDA) - Grants","","NO","",""
"DOC","2019","International Trade Administration (ITA) - Global Markets","","No","",""
"DOC","2019","Minority Business Development Agency (MBDA) - Minority Business Development Grants","","No","",""
"DOC","2019","National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders","","NO","",""
"DOC","2019","National Institute of Standards and Technology (NIST) - Payments to Employees","","NO","",""
"DOC","2019","National Institute of Standards and Technology (NIST) - Purchase Card","","No","",""
"DOC","2019","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","","No","",""
"DOC","2019","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)","","No","",""
"DOC","2019","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program","","No","",""
"DOC","2019","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund","","No","",""
"DOC","2019","National Telecommunications and Information Administration (NTIA) - State and Local Grant Implementation Program","","No","",""
